Lat,Lon,Hour,Holiday
40.7631,-73.9825,20,0
40.7414,-73.9999,16,0
40.7636,-73.9745,0,1
40.7419,-73.9935,16,0
40.6925,-73.9864,3,0
40.7229,-74.0048,21,0
40.6009,-73.9703,13,0
40.7537,-73.9884,14,0
40.7626,-73.9758,16,1
40.7401,-73.9949,12,0
40.7035,-73.9865,21,0
40.7418,-73.98100000000001,14,1
40.7265,-74.0351,1,0
40.7325,-73.9912,6,1
40.7529,-74.0041,7,0
40.7262,-73.9918,3,1
40.7736,-73.9815,7,0
40.7376,-74.0028,22,0
40.7178,-74.0043,15,1
40.7563,-73.993,14,0
40.7686,-73.9575,15,1
40.7214,-73.9946,18,1
40.7174,-73.944,6,0
40.7471,-73.9909,22,0
40.7198,-73.9832,8,0
40.7573,-73.9841,15,1
40.8003,-73.9467,5,0
40.7291,-73.9902,2,0
40.7483,-74.0056,7,0
40.7481,-73.9913,17,0
40.7454,-73.9827,17,0
40.7261,-73.993,13,0
40.7021,-74.0113,20,0
40.7644,-73.9774,20,0
40.7431,-73.9356,12,0
40.7229,-73.9959,10,0
40.7206,-74.01,18,0
40.725,-74.0358,19,0
40.7353,-73.9944,17,0
40.6556,-73.9468,18,0
40.7829,-73.9814,0,0
40.7546,-73.9847,23,0
40.6912,-73.99,13,0
40.7744,-73.9457,6,0
40.7505,-73.9946,19,1
40.769,-73.9567,8,0
40.7654,-73.9897,14,0
40.8021,-73.9615,15,0
40.728,-73.9845,6,0
40.7446,-73.9796,18,0
40.7691,-73.9822,22,0
40.714,-74.0144,16,0
40.6903,-73.9073,19,0
40.7103,-74.0097,19,0
40.7994,-73.9606,10,1
40.7425,-74.0043,20,0
40.7323,-73.9928,7,0
40.7106,-73.9666,19,0
40.7158,-73.9995,8,0
40.7514,-73.9717,17,0
40.7631,-73.9809,17,0
40.7679,-73.9853,19,0
40.7302,-74.0003,1,1
40.7336,-74.0067,6,0
40.7137,-73.2418,20,1
40.7741,-73.8725,15,1
40.7359,-74.0058,15,1
40.7758,-73.9528,18,1
40.7323,-73.9965,20,0
40.7222,-73.984,17,0
40.6685,-73.8743,23,0
40.7632,-73.9738,15,0
40.7558,-73.9871,0,0
40.7343,-73.9936,20,0
40.6624,-73.9245,21,1
40.7399,-73.9853,12,0
40.7075,-74.0084,22,0
40.7646,-73.9784,19,0
40.7696,-73.9823,22,0
40.7768,-74.03,9,0
40.7431,-74.0083,19,0
40.7618,-74.0005,18,0
40.7231,-73.9494,15,0
40.7428,-73.9946,7,0
40.7248,-73.9941,11,0
40.6707,-73.9737,8,0
40.7285,-74.0053,20,1
40.7217,-73.9945,21,0
40.736,-73.9873,20,0
40.8188,-73.9382,20,0
40.7874,-73.9752,13,1
40.6842,-73.9553,11,1
40.7516,-73.9842,19,0
40.754,-73.9859,16,0
40.7758,-73.9507,7,0
40.7671,-73.9609,18,0
40.7094,-73.8298,20,0
40.7257,-73.9848,18,0
40.7245,-74.0019,15,1
40.7504,-73.9851,19,0
40.7647,-73.9738,14,1
40.7586,-73.9794,20,0
40.7533,-73.9744,18,1
40.7622,-73.9682,18,0
40.7376,-74.0061,9,1
40.7673,-73.97,15,0
40.7695,-73.7839,21,0
40.7682,-73.8621,8,1
40.7232,-73.9857,8,0
40.7644,-73.9814,9,0
40.6878,-74.1814,7,0
40.746,-74.3275,11,0
40.7571,-73.9989,21,0
40.7781,-73.9627,14,0
40.7303,-73.9821,6,0
40.7644,-73.9706,17,0
40.7597,-73.9669,21,0
40.6723,-73.9643,18,1
40.7615,-73.9713,17,0
40.7741,-73.8727,16,1
40.7859,-73.9724,8,0
40.7457,-73.9936,5,1
40.7405,-73.9891,17,0
40.7618,-73.9997,21,0
40.7284,-74.045,6,0
40.742,-74.0077,14,0
40.7212,-73.9937,20,1
40.7631,-73.9816,21,0
40.771,-73.9676,15,0
40.7419,-74.0035,3,1
40.6449,-73.7822,15,0
40.7501,-73.9785,16,0
40.745,-73.9988,17,0
40.7171,-73.9565,23,1
40.7772,-73.962,12,0
40.7452,-73.9924,0,1
40.7797,-73.954,19,0
40.7482,-73.9744,18,0
40.7616,-73.9995,4,1
40.7471,-73.9872,16,0
40.7741,-73.9632,18,0
40.7371,-73.9791,17,0
40.725,-74.0098,16,0
40.735,-74.0002,7,0
40.6949,-74.1779,11,1
40.7681,-73.9824,13,0
40.7097,-74.0181,23,0
40.728,-73.9821,0,1
40.6487,-73.7841,20,0
40.734,-73.9897,5,0
40.7751,-73.9453,18,0
40.7407,-73.9902,13,0
40.7761,-73.9572,17,0
40.7139,-73.9919,17,0
40.7031,-73.9867,17,0
40.7608,-73.9693,18,0
40.676,-73.9484,5,0
40.7524,-73.9896,19,0
40.7684,-73.8621,13,0
40.732,-74.0013,23,0
40.7401,-73.9897,17,0
40.7197,-73.9954,1,1
40.7297,-74.0049,18,1
40.777,-73.9789,15,0
40.7377,-73.9955,17,0
40.7442,-73.9898,0,1
40.7235,-73.9849,9,0
40.7522,-73.9807,11,0
40.7409,-74.0075,21,0
40.714,-74.0149,22,0
40.7587,-73.9887,22,0
40.7671,-73.9682,20,1
40.7585,-73.9684,21,0
40.7262,-73.9973,18,0
40.7388,-73.9852,16,0
